#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2015-04-03T15:28:59 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ551eac7f3bc3	
#INFO	-out.max=1000	
#INFO	queryParameters=12	
#-oc.form=sexa
#-out.max=1000
#-out.add=_RAJ,_DEJ
#-nav=cat:VII/220A&tab:{VII/220A/barnard}&key:source=VII/220A/barnard&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=VII/220A/barnard
#-order=I
#-out=Barn
#-out=Diam
#

#RESOURCE=yCat_7220
#Name: VII/220A
#Title: Barnard's Catalogue of 349 Dark Objects in the Sky (Barnard, 1927)
#Coosys	B1875:	eq_FK4 B1875
#Table	VII_220A_barnard:
#Name: VII/220A/barnard
#Title: Positions and Diameters
#Column	_RAJ2000	(A7)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(A6)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
#Column	Barn	(A4)	[ 0-9a]! Barnard number	[ucd=meta.id;meta.main]
#Column	Diam	(F5.1)	? Diameter of the nebula	[ucd=phys.angSize]
_RAJ2000	_DEJ2000	Barn	Diam
"h:m:s"	"d:m:s"	 	arcmin
-------	------	----	-----
03 32 57.4	+31 09 33	  1 	 30.0
03 33 31.3	+32 19 29	  2 	 20.0
03 40 01.9	+31 58 32	  3 	 20.0
03 44 02.4	+31 47 56	  4 	
03 47 53.1	+32 53 22	  5 	 60.0
03 56 23.4	+56 07 13	  6 	
04 17 25.0	+28 33 43	  7 	
04 17 50.9	+55 14 49	  8 	
04 18 56.9	+55 03 38	  9 	
04 18 41.2	+28 16 30	 10 	  8.0
04 26 37.3	+55 02 23	 11 	
04 29 47.4	+54 14 51	 12 	 24.0
04 31 18.1	+54 53 36	 13 	 11.0
04 39 59.0	+25 44 56	 14 	  3.0
04 31 56.0	+46 37 25	 15 	 13.0
04 32 26.0	+46 36 20	 16 	
04 32 30.6	+46 31 19	 17 	
04 31 13.3	+24 21 25	 18 	 60.0
04 33 39.9	+26 16 01	 19 	 60.0
04 37 04.5	+50 58 36	 20 	 60.0
04 37 57.6	+55 21 30	 21 	 10.0
04 38 39.9	+26 03 10	 22 	120.0
04 40 33.4	+29 52 52	 23 	  5.0
04 42 53.3	+29 44 28	 24 	  8.0
04 52 04.1	+46 00 59	 25 	  8.0
04 54 38.2	+30 37 27	 26 	  5.0
04 55 08.0	+30 33 22	 27 	  5.0
04 55 52.4	+30 38 14	 28 	  4.0
05 06 23.3	+31 35 24	 29 	 10.0
05 30 16.5	+12 46 02	 30 	 67.0
05 32 01.5	+12 45 43	 31 	 30.0
05 32 08.5	+12 25 42	 32 	
05 40 52.9	-02 27 57	 33 	  4.0
05 43 30.6	+32 38 45	 34 	 20.0
05 45 30.6	+09 03 16	 35 	 15.0
05 49 45.8	+07 25 29	 36 	120.0
06 32 55.0	+10 28 39	 37 	175.0
06 33 41.7	+11 04 31	 38 	 60.0
06 38 02.4	+10 19 43	 39 	
16 14 38.8	-18 58 07	 40 	 15.0
16 22 17.6	-19 37 53	 41 	 45.0
16 25 29.6	-23 26 22	 42 	
16 30 19.0	-19 46 33	 43 	
16 40 33.6	-24 04 50	 44 	
16 44 45.1	-40 20 13	 44a	  5.0
16 46 26.3	-21 35 49	 45 	120.0
16 57 13.0	-22 43 57	 46 	
16 59 42.9	-22 38 31	 47 	 15.0
17 01 42.1	-40 41 17	 48 	 40.0
17 02 39.5	-33 16 04	 49 	
17 02 54.1	-34 23 01	 50 	 15.0
17 04 44.1	-22 15 38	 51 	 20.0
17 06 11.3	-33 35 27	 53 	 60.0
17 06 34.1	-34 15 23	 54 	  5.0
17 07 33.1	-32 00 12	 55 	 16.0
17 08 48.7	-32 05 58	 56 	  3.0
17 08 22.2	-22 50 00	 57 	  5.0
17 11 12.3	-40 24 36	 58 	 30.0
17 11 23.6	-27 29 29	 59 	 60.0
17 11 51.2	-22 26 23	 60 	 13.0
