#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2015-04-03T15:28:05 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ551ead82562d	
#INFO	-out.max=99999	
#INFO	queryParameters=14	
#-oc.form=sexa
#-out.max=99999
#-out.add=_RAJ,_DEJ
#-order=I
#-nav=cat:VII/118&tab:{VII/118/ngc2000}&key:source=VII/118/ngc2000&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=VII/118/ngc2000
#-out=Name
#-out=Type
#-out=size
#-out=mag
#

#RESOURCE=yCat_7118
#Name: VII/118
#Title: NGC 2000.0 (Sky Publishing, ed. Sinnott 1988)
#Coosys	B2000:	eq_FK4 B2000
#Table	VII_118_ngc2000:
#Name: VII/118/ngc2000
#Title: The NGC 2000.0 Catalogue
#Column	_RAJ2000	(A7)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(A6)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
#Column	Name	(A5)	NGC or IC designation (preceded by I)	[ucd=meta.id;meta.main]
#Column	Type	(A3)	Object classification (1)	[ucd=src.class]
#Column	size	(F5.1)	? Largest dimension	[ucd=phys.angSize]
#Column	mag	(F4.1)	? Integrated magnitude, visual or photographic (see n_mag)	[ucd=phot.mag;em.opt]
_RAJ2000	_DEJ2000	Name	Type	size	mag
"h:m:s"	"d:m:s"	 	 	arcmin	mag
-------	------	-----	---	-----	----
00 00 06.1	+32 45 00	I5370	 Gx	  0.7	15.0
00 00 12.1	+32 49 00	I5371	   	     	
00 00 24.1	+50 42 00	 7801	  -	     	
00 00 24.1	+32 47 00	I5372	 Gx	  0.7	15.0
00 00 24.1	+32 47 00	I5373	 Gx	  0.7	15.0
00 01 06.1	+06 13 00	 7802	 Gx	     	14.0
00 01 06.1	+04 30 00	I5374	   	     	
00 01 06.1	+04 31 00	I5375	 Gx	  0.9	14.0
00 01 18.1	+07 45 00	 7804	   	     	
00 01 24.1	+13 06 00	 7803	 Gx	     	14.0
00 01 24.1	+31 26 00	 7805	 Gx	  1.4	14.0
00 01 24.1	+34 32 00	I5376	 Gx	  2.1	15.0
00 01 30.1	+31 27 00	 7806	 Gx	  1.3	14.0
00 01 36.1	+11 21 00	I1526	 Gx	     	15.0
00 02 06.1	+16 36 00	I5377	 Gx	  1.3	16.0
00 02 12.1	+02 56 00	 7809	 Gx	     	15.0
00 02 24.1	+12 57 00	 7810	 Gx	     	14.0
00 02 24.1	+04 07 00	I1527	   	     	
00 02 30.1	+03 20 00	 7811	 Gx	     	15.0
00 02 36.1	+16 37 00	I5378	   	     	
00 02 42.1	+16 35 00	I5379	   	     	
00 02 42.1	-66 11 00	I5380	   	     	
00 02 54.1	-34 15 00	 7812	 Gx	     	
00 03 12.1	-11 59 00	 7813	 Gx	     	15.0
00 03 12.1	+15 58 00	I5381	 Gx	  1.5	
00 03 18.1	+16 09 00	 7814	 Gx	  6.3	10.5
00 03 24.1	+20 41 00	 7815	  -	     	
00 03 24.1	-65 11 00	I5382	   	     	
00 03 30.1	-10 45 00	 7808	 Gx	     	14.0
00 03 36.1	+68 37 00	 7822	 Nb	 60.0	
00 03 48.1	+07 28 00	 7816	 Gx	  1.9	14.0
00 03 48.1	+16 00 00	I5383	   	     	
00 04 00.1	+20 45 00	 7817	 Gx	  3.7	12.0
00 04 12.1	+07 21 00	 7818	 Gx	     	15.0
00 04 12.1	-11 58 00	I5384	 Gx	  0.8	15.0
00 04 24.1	+31 29 00	 7819	 Gx	  2.0	14.0
00 04 36.1	+05 11 00	 7820	 Gx	     	14.0
00 04 48.1	-62 04 00	 7823	 Gx	  1.4	
00 05 06.1	-03 07 00	I1528	   	     	
00 05 12.1	+06 54 00	 7824	 Gx	     	14.0
00 05 12.1	+05 12 00	 7825	 Gx	     	15.0
00 05 12.1	-20 44 00	 7826	  -	     	
00 05 12.1	-11 30 00	I1529	   	     	
00 05 18.1	-16 29 00	 7821	 Gx	     	14.0
00 05 30.1	+05 13 00	 7827	 Gx	     	14.0
00 06 12.1	+08 22 00	 7830	  *	     	
00 06 24.1	-13 24 00	 7828	 Gx	     	
00 06 24.1	-13 24 00	 7829	 Gx	     	
00 06 24.1	-00 04 00	I5385	   	     	
